ONTOLOGY,ID,Description,pvalue_ASG_brain_AF,pvalue_ASG_brain_AR,pvalue_ASG_brain_FR,pvalue_DEG_brain_AF,pvalue_DEG_brain_AR,pvalue_DEG_brain_FR
BP,GO:0060218,hematopoietic stem cell differentiation,NA,NA,NA,0.04800514,0.01026024,NA
MF,GO:0030215,semaphorin receptor binding,NA,NA,NA,0.048136406,NA,NA
MF,GO:0031593,polyubiquitin modification-dependent protein binding,NA,NA,NA,0.048136406,NA,NA
BP,GO:0010507,negative regulation of autophagy,NA,NA,NA,0.048562093,NA,NA
BP,GO:0010965,regulation of mitotic sister chromatid separation,NA,NA,NA,0.048562093,NA,0.03913638
BP,GO:0021695,cerebellar cortex development,NA,NA,NA,0.048562093,NA,NA
BP,GO:0038092,nodal signaling pathway,NA,NA,NA,0.048562093,NA,NA
MF,GO:0016667,"oxidoreductase activity, acting on a sulfur group of donors",NA,NA,NA,0.049457059,NA,NA
MF,GO:0031072,heat shock protein binding,NA,NA,NA,0.049457059,0.022106599,0.037649852
MF,GO:0170055,lipid transmembrane transporter activity,NA,NA,NA,NA,0.00110128,NA
BP,GO:0015850,organic hydroxy compound transport,NA,NA,NA,NA,0.001484326,NA
MF,GO:0008028,monocarboxylic acid transmembrane transporter activity,NA,NA,NA,NA,0.001583314,NA
CC,GO:0005665,"RNA polymerase II, core complex",NA,NA,NA,NA,0.001700636,NA
CC,GO:0032994,protein-lipid complex,NA,NA,NA,NA,0.001885923,NA
CC,GO:0034358,plasma lipoprotein particle,NA,NA,NA,NA,0.001885923,NA
CC,GO:1990777,lipoprotein particle,NA,NA,NA,NA,0.001885923,NA
CC,GO:0055029,nuclear DNA-directed RNA polymerase complex,NA,NA,NA,NA,0.002026262,NA
BP,GO:0060350,endochondral bone morphogenesis,NA,NA,NA,NA,0.002384029,NA
MF,GO:0016836,hydro-lyase activity,NA,NA,NA,NA,0.002893389,NA
CC,GO:0000428,DNA-directed RNA polymerase complex,NA,NA,NA,NA,0.003237924,NA
BP,GO:0032474,otolith morphogenesis,NA,NA,NA,NA,0.003306155,NA
CC,GO:0030880,RNA polymerase complex,NA,NA,NA,NA,0.003618944,NA
BP,GO:0021522,spinal cord motor neuron differentiation,NA,NA,NA,NA,0.003795772,NA
BP,GO:0055088,lipid homeostasis,NA,NA,NA,NA,0.004466538,NA
BP,GO:0060037,pharyngeal system development,NA,NA,NA,NA,0.004538601,NA
BP,GO:0001570,vasculogenesis,NA,NA,NA,NA,0.00486079,NA
BP,GO:0000460,maturation of 5.8S rRNA,NA,NA,NA,NA,0.005001502,NA
BP,GO:0006869,lipid transport,NA,NA,NA,NA,0.005085152,NA
BP,GO:0048709,oligodendrocyte differentiation,NA,NA,NA,NA,0.005509529,NA
MF,GO:0004029,aldehyde dehydrogenase (NAD+) activity,NA,NA,NA,NA,0.006132824,NA
MF,GO:0004030,aldehyde dehydrogenase [NAD(P)+] activity,NA,NA,NA,NA,0.006132824,NA
BP,GO:0015721,bile acid and bile salt transport,NA,NA,NA,NA,0.006162034,NA
BP,GO:0045880,positive regulation of smoothened signaling pathway,NA,NA,NA,NA,0.006162034,NA
BP,GO:0048665,neuron fate specification,NA,NA,NA,NA,0.007278268,NA
BP,GO:0046461,neutral lipid catabolic process,NA,NA,NA,NA,0.007912767,NA
BP,GO:0046464,acylglycerol catabolic process,NA,NA,NA,NA,0.007912767,NA
BP,GO:0009437,carnitine metabolic process,NA,NA,NA,NA,0.008714435,NA
BP,GO:0021520,spinal cord motor neuron cell fate specification,NA,NA,NA,NA,0.008714435,NA
BP,GO:0051057,positive regulation of small GTPase mediated signal transduction,NA,NA,NA,NA,0.008714435,NA
BP,GO:0035469,determination of pancreatic left/right asymmetry,NA,NA,NA,NA,0.010103913,NA
BP,GO:0044786,cell cycle DNA replication,NA,NA,NA,NA,0.010103913,NA
BP,GO:0003143,embryonic heart tube morphogenesis,NA,NA,NA,NA,0.011251541,NA
BP,GO:0048884,neuromast development,NA,NA,NA,NA,0.011257687,NA
BP,GO:0048702,embryonic neurocranium morphogenesis,NA,NA,NA,NA,0.011739373,NA
MF,GO:0016620,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor",NA,NA,NA,NA,0.011862478,NA
BP,GO:0060351,cartilage development involved in endochondral bone morphogenesis,NA,NA,NA,NA,0.011869666,NA
BP,GO:0098869,cellular oxidant detoxification,NA,NA,NA,NA,0.011869666,NA
BP,GO:0014003,oligodendrocyte development,NA,NA,NA,NA,0.012015732,NA
BP,GO:0001714,endodermal cell fate specification,NA,NA,NA,NA,0.012677208,NA
BP,GO:1903224,regulation of endodermal cell differentiation,NA,NA,NA,NA,0.012677208,NA
BP,GO:0007219,Notch signaling pathway,NA,NA,NA,NA,0.0127384,NA
BP,GO:0010876,lipid localization,NA,NA,NA,NA,0.012878882,NA
BP,GO:0009611,response to wounding,NA,NA,NA,NA,0.013238253,NA
BP,GO:0007492,endoderm development,NA,NA,NA,NA,0.013472692,NA
MF,GO:0016835,carbon-oxygen lyase activity,NA,NA,NA,NA,0.013681738,NA
BP,GO:0015908,fatty acid transport,NA,NA,NA,NA,0.013765157,NA
BP,GO:0001501,skeletal system development,NA,NA,NA,NA,0.014668224,NA
BP,GO:0048562,embryonic organ morphogenesis,NA,NA,NA,NA,0.014876145,NA
BP,GO:0016073,snRNA metabolic process,NA,NA,NA,NA,0.015121523,NA
BP,GO:0001711,endodermal cell fate commitment,NA,NA,NA,NA,0.015659523,NA
BP,GO:0006278,RNA-templated DNA biosynthetic process,NA,NA,NA,NA,0.015672577,NA
BP,GO:0006577,amino-acid betaine metabolic process,NA,NA,NA,NA,0.015672577,NA
BP,GO:0007004,telomere maintenance via telomerase,NA,NA,NA,NA,0.015672577,NA
BP,GO:0043153,entrainment of circadian clock by photoperiod,NA,NA,NA,NA,0.015672577,NA
BP,GO:0097006,regulation of plasma lipoprotein particle levels,NA,NA,NA,NA,0.015672577,NA
BP,GO:0060972,left/right pattern formation,NA,NA,NA,NA,0.015683295,NA
CC,GO:0034362,low-density lipoprotein particle,NA,NA,NA,NA,0.016294883,NA
CC,GO:0034364,high-density lipoprotein particle,NA,NA,NA,NA,0.016294883,NA
BP,GO:0046503,glycerolipid catabolic process,NA,NA,NA,NA,0.016635411,NA
BP,GO:0048511,rhythmic process,NA,NA,NA,NA,0.017213034,0.038174818
BP,GO:0003146,heart jogging,NA,NA,NA,NA,0.018650574,NA
BP,GO:0009648,photoperiodism,NA,NA,NA,NA,0.019075192,0.042631995
MF,GO:0005112,Notch binding,NA,NA,NA,NA,0.019244856,NA
BP,GO:0042246,tissue regeneration,NA,NA,NA,NA,0.019295927,5.97469e-4
CC,GO:0031430,M band,NA,NA,NA,NA,0.019956279,NA
CC,GO:0070461,SAGA-type complex,NA,NA,NA,NA,0.019956279,NA
BP,GO:0006692,prostanoid metabolic process,NA,NA,NA,NA,0.020159942,NA
BP,GO:0006693,prostaglandin metabolic process,NA,NA,NA,NA,0.020159942,NA
BP,GO:0009649,entrainment of circadian clock,NA,NA,NA,NA,0.020159942,NA
BP,GO:0021603,cranial nerve formation,NA,NA,NA,NA,0.020159942,NA
MF,GO:0016298,lipase activity,NA,NA,NA,NA,0.020779975,NA
CC,GO:0034361,very-low-density lipoprotein particle,NA,NA,NA,NA,0.020946267,NA
CC,GO:0034385,triglyceride-rich plasma lipoprotein particle,NA,NA,NA,NA,0.020946267,NA
BP,GO:0061077,chaperone-mediated protein folding,NA,NA,NA,NA,0.021340519,0.002711021
BP,GO:0035050,embryonic heart tube development,NA,NA,NA,NA,0.021360192,NA
BP,GO:0048732,gland development,NA,NA,NA,NA,0.021766797,NA
BP,GO:0031016,pancreas development,NA,NA,NA,NA,0.022133561,NA
BP,GO:0035162,embryonic hemopoiesis,NA,NA,NA,NA,0.023950689,NA
BP,GO:0003352,regulation of cilium movement,NA,NA,NA,NA,0.025360374,NA
BP,GO:0070873,regulation of glycogen metabolic process,NA,NA,NA,NA,0.025360374,NA
BP,GO:0006383,transcription by RNA polymerase III,NA,NA,NA,NA,0.026357177,NA
BP,GO:0061512,protein localization to cilium,NA,NA,NA,NA,0.026357177,NA
BP,GO:0001708,cell fate specification,NA,NA,NA,NA,0.026628187,NA
CC,GO:0062023,collagen-containing extracellular matrix,NA,NA,NA,NA,0.026768275,NA
BP,GO:0021602,cranial nerve morphogenesis,NA,NA,NA,NA,0.027289867,NA
BP,GO:0001947,heart looping,NA,NA,NA,NA,0.02821303,NA
MF,GO:0031490,chromatin DNA binding,NA,NA,NA,NA,0.029557145,NA
BP,GO:0060536,cartilage morphogenesis,NA,NA,NA,NA,0.030288132,NA
BP,GO:0048663,neuron fate commitment,NA,NA,NA,NA,0.030437792,NA
MF,GO:0016811,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides",NA,NA,NA,NA,0.03055217,NA
BP,GO:0000463,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",NA,NA,NA,NA,0.031294438,NA
BP,GO:0006833,water transport,NA,NA,NA,NA,0.031294438,NA
BP,GO:0032881,regulation of polysaccharide metabolic process,NA,NA,NA,NA,0.031294438,NA
BP,GO:0033260,nuclear DNA replication,NA,NA,NA,NA,0.031294438,NA
BP,GO:0042663,regulation of endodermal cell fate specification,NA,NA,NA,NA,0.031294438,NA
BP,GO:0051289,protein homotetramerization,NA,NA,NA,NA,0.031294438,NA
MF,GO:0050308,sugar-phosphatase activity,NA,NA,NA,NA,0.03152241,NA
BP,GO:0001709,cell fate determination,NA,NA,NA,NA,0.031620913,NA
BP,GO:0060420,regulation of heart growth,NA,NA,NA,NA,0.031620913,NA
MF,GO:0015166,polyol transmembrane transporter activity,NA,NA,NA,NA,0.031807215,NA
MF,GO:0016530,metallochaperone activity,NA,NA,NA,NA,0.031807215,NA
BP,GO:0006695,cholesterol biosynthetic process,NA,NA,NA,NA,0.032122979,4.91594e-4
BP,GO:1902653,secondary alcohol biosynthetic process,NA,NA,NA,NA,0.032122979,4.91594e-4
MF,GO:0003899,DNA-directed 5'-3' RNA polymerase activity,NA,NA,NA,NA,0.032395873,NA
MF,GO:0034062,5'-3' RNA polymerase activity,NA,NA,NA,NA,0.032395873,NA
MF,GO:0097747,RNA polymerase activity,NA,NA,NA,NA,0.032395873,NA
MF,GO:0001217,DNA-binding transcription repressor activity,NA,NA,NA,NA,0.032505415,NA
MF,GO:0008201,heparin binding,NA,NA,NA,NA,0.033317814,NA
BP,GO:0060349,bone morphogenesis,NA,NA,NA,NA,0.034772966,NA
BP,GO:0000462,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",NA,NA,NA,NA,0.037457463,NA
BP,GO:0030212,hyaluronan metabolic process,NA,NA,NA,NA,0.037974915,NA
BP,GO:0035904,aorta development,NA,NA,NA,NA,0.037974915,NA
BP,GO:0060632,regulation of microtubule-based movement,NA,NA,NA,NA,0.037974915,NA
BP,GO:0150076,neuroinflammatory response,NA,NA,NA,NA,0.037974915,NA
MF,GO:0019203,carbohydrate phosphatase activity,NA,NA,NA,NA,0.038246688,NA
BP,GO:0048840,otolith development,NA,NA,NA,NA,0.038528935,NA
BP,GO:0060215,primitive hemopoiesis,NA,NA,NA,NA,0.038528935,NA
CC,GO:0061695,"transferase complex, transferring phosphorus-containing groups",NA,NA,NA,NA,0.039244474,NA
BP,GO:0000303,response to superoxide,NA,NA,NA,NA,0.041167992,NA
BP,GO:0000305,response to oxygen radical,NA,NA,NA,NA,0.041167992,NA
BP,GO:0018216,peptidyl-arginine methylation,NA,NA,NA,NA,0.041167992,NA
BP,GO:0019430,removal of superoxide radicals,NA,NA,NA,NA,0.041167992,NA
BP,GO:0032488,Cdc42 protein signal transduction,NA,NA,NA,NA,0.041167992,NA
BP,GO:0071450,cellular response to oxygen radical,NA,NA,NA,NA,0.041167992,NA
BP,GO:0071451,cellular response to superoxide,NA,NA,NA,NA,0.041167992,NA
BP,GO:0007623,circadian rhythm,NA,NA,NA,NA,0.041587486,0.037768199
BP,GO:0044242,cellular lipid catabolic process,NA,NA,NA,NA,0.041883095,NA
MF,GO:0004540,RNA nuclease activity,NA,NA,NA,NA,0.042156367,NA
MF,GO:0004519,endonuclease activity,NA,NA,NA,NA,0.042822072,NA
BP,GO:0019827,stem cell population maintenance,NA,NA,NA,NA,0.043302483,NA
BP,GO:0051205,protein insertion into membrane,NA,NA,NA,NA,0.043302483,NA
BP,GO:0060419,heart growth,NA,NA,NA,NA,0.043302483,NA
CC,GO:0031672,A band,NA,NA,NA,NA,0.04514778,NA
BP,GO:0003401,axis elongation,NA,NA,NA,NA,0.045148722,NA
BP,GO:0010833,telomere maintenance via telomere lengthening,NA,NA,NA,NA,0.045407182,NA
BP,GO:0042044,fluid transport,NA,NA,NA,NA,0.045407182,NA
BP,GO:0045292,"mRNA cis splicing, via spliceosome",NA,NA,NA,NA,0.045407182,NA
CC,GO:0016591,"RNA polymerase II, holoenzyme",NA,NA,NA,NA,0.047768314,NA
BP,GO:0035265,organ growth,NA,NA,NA,NA,0.04788799,NA
BP,GO:0043123,positive regulation of canonical NF-kappaB signal transduction,NA,NA,NA,NA,0.049445212,NA
BP,GO:0048368,lateral mesoderm development,NA,NA,NA,NA,0.049664036,NA
BP,GO:0072089,stem cell proliferation,NA,NA,NA,NA,0.049664036,NA
BP,GO:0048384,retinoic acid receptor signaling pathway,NA,NA,NA,NA,0.049741302,NA
BP,GO:0008299,isoprenoid biosynthetic process,NA,NA,NA,NA,NA,1.45e-7
BP,GO:0006720,isoprenoid metabolic process,NA,NA,NA,NA,NA,2.05e-6
BP,GO:0046165,alcohol biosynthetic process,NA,NA,NA,NA,NA,2.22e-5
BP,GO:0016114,terpenoid biosynthetic process,NA,NA,NA,NA,NA,4.43e-5
BP,GO:0021536,diencephalon development,NA,NA,NA,NA,NA,5.34e-5
MF,GO:0017017,MAP kinase tyrosine/serine/threonine phosphatase activity,NA,NA,NA,NA,NA,8.68e-5
BP,GO:1901617,organic hydroxy compound biosynthetic process,NA,NA,NA,NA,NA,2.89684e-4
MF,GO:0033549,MAP kinase phosphatase activity,NA,NA,NA,NA,NA,3.24405e-4
CC,GO:0032476,polyprenyl diphosphate synthase complex,NA,NA,NA,NA,NA,3.59718e-4
BP,GO:0006721,terpenoid metabolic process,NA,NA,NA,NA,NA,3.98458e-4
CC,GO:0005788,endoplasmic reticulum lumen,NA,NA,NA,NA,NA,5.8032e-4
BP,GO:0031099,regeneration,NA,NA,NA,NA,NA,6.21591e-4
MF,GO:0008138,protein tyrosine/serine/threonine phosphatase activity,NA,NA,NA,NA,NA,7.32569e-4
BP,GO:0008203,cholesterol metabolic process,NA,NA,NA,NA,NA,9.21031e-4
BP,GO:0006694,steroid biosynthetic process,NA,NA,NA,NA,NA,9.87584e-4
BP,GO:0006066,alcohol metabolic process,NA,NA,NA,NA,NA,0.0011016
BP,GO:0042127,regulation of cell population proliferation,NA,NA,NA,NA,NA,0.001128761
BP,GO:0061515,myeloid cell development,NA,NA,NA,NA,NA,0.001131725
BP,GO:0016125,sterol metabolic process,NA,NA,NA,NA,NA,0.001467881
BP,GO:1902652,secondary alcohol metabolic process,NA,NA,NA,NA,NA,0.001467881
BP,GO:0030223,neutrophil differentiation,NA,NA,NA,NA,NA,0.001620957
BP,GO:0016126,sterol biosynthetic process,NA,NA,NA,NA,NA,0.002011073
MF,GO:0004659,prenyltransferase activity,NA,NA,NA,NA,NA,0.002097756
BP,GO:0030901,midbrain development,NA,NA,NA,NA,NA,0.002711021
BP,GO:0030900,forebrain development,NA,NA,NA,NA,NA,0.002716978
BP,GO:0021986,habenula development,NA,NA,NA,NA,NA,0.002719116
BP,GO:1902742,apoptotic process involved in development,NA,NA,NA,NA,NA,0.002719116
BP,GO:0008283,cell population proliferation,NA,NA,NA,NA,NA,0.003328387
BP,GO:0030099,myeloid cell differentiation,NA,NA,NA,NA,NA,0.003832657
BP,GO:0021538,epithalamus development,NA,NA,NA,NA,NA,0.004180224
CC,GO:0032432,actin filament bundle,NA,NA,NA,NA,NA,0.004394041
BP,GO:0030851,granulocyte differentiation,NA,NA,NA,NA,NA,0.004955658
BP,GO:0009314,response to radiation,NA,NA,NA,NA,NA,0.005043166
BP,GO:0001878,response to yeast,NA,NA,NA,NA,NA,0.005373916
BP,GO:0042026,protein refolding,NA,NA,NA,NA,NA,0.006039687
BP,GO:1903706,regulation of hemopoiesis,NA,NA,NA,NA,NA,0.006049249
BP,GO:0002573,myeloid leukocyte differentiation,NA,NA,NA,NA,NA,0.007098786
BP,GO:2000026,regulation of multicellular organismal development,NA,NA,NA,NA,NA,0.007795447
BP,GO:0007059,chromosome segregation,NA,NA,NA,NA,NA,0.00790861
BP,GO:0009266,response to temperature stimulus,NA,NA,NA,NA,NA,0.008195771
BP,GO:1901615,organic hydroxy compound metabolic process,NA,NA,NA,NA,NA,0.008628189
CC,GO:0009295,nucleoid,NA,NA,NA,NA,NA,0.009136901
CC,GO:0042645,mitochondrial nucleoid,NA,NA,NA,NA,NA,0.009136901
BP,GO:0009620,response to fungus,NA,NA,NA,NA,NA,0.009181571
BP,GO:0000819,sister chromatid segregation,NA,NA,NA,NA,NA,0.009567247
BP,GO:0009408,response to heat,NA,NA,NA,NA,NA,0.011049214
BP,GO:0008202,steroid metabolic process,NA,NA,NA,NA,NA,0.011133704
BP,GO:0032350,regulation of hormone metabolic process,NA,NA,NA,NA,NA,0.011308422
BP,GO:0045862,positive regulation of proteolysis,NA,NA,NA,NA,NA,0.011880728
BP,GO:0000076,DNA replication checkpoint signaling,NA,NA,NA,NA,NA,0.013436649
BP,GO:0030206,chondroitin sulfate biosynthetic process,NA,NA,NA,NA,NA,0.013436649
BP,GO:0048385,regulation of retinoic acid receptor signaling pathway,NA,NA,NA,NA,NA,0.013436649
CC,GO:0031519,PcG protein complex,NA,NA,NA,NA,NA,0.014929142
BP,GO:0007398,ectoderm development,NA,NA,NA,NA,NA,0.015723701
BP,GO:0042573,retinoic acid metabolic process,NA,NA,NA,NA,NA,0.015723701
MF,GO:0001530,lipopolysaccharide binding,NA,NA,NA,NA,NA,0.016500402
BP,GO:0001523,retinoid metabolic process,NA,NA,NA,NA,NA,0.016614933
BP,GO:0060284,regulation of cell development,NA,NA,NA,NA,NA,0.016732446
BP,GO:0016101,diterpenoid metabolic process,NA,NA,NA,NA,NA,0.017884321
BP,GO:0030204,chondroitin sulfate metabolic process,NA,NA,NA,NA,NA,0.018164361
BP,GO:0045646,regulation of erythrocyte differentiation,NA,NA,NA,NA,NA,0.018164361
BP,GO:0071711,basement membrane organization,NA,NA,NA,NA,NA,0.018164361
CC,GO:0001725,stress fiber,NA,NA,NA,NA,NA,0.018628387
CC,GO:0097517,contractile actin filament bundle,NA,NA,NA,NA,NA,0.018628387
BP,GO:0000165,MAPK cascade,NA,NA,NA,NA,NA,0.019110567
BP,GO:0061035,regulation of cartilage development,NA,NA,NA,NA,NA,0.019206264
CC,GO:0000152,nuclear ubiquitin ligase complex,NA,NA,NA,NA,NA,0.019964079
MF,GO:0004713,protein tyrosine kinase activity,NA,NA,NA,NA,NA,0.020166241
CC,GO:0031941,filamentous actin,NA,NA,NA,NA,NA,0.02030424
MF,GO:0015459,potassium channel regulator activity,NA,NA,NA,NA,NA,0.020529757
BP,GO:0001655,urogenital system development,NA,NA,NA,NA,NA,0.020753532
BP,GO:0071214,cellular response to abiotic stimulus,NA,NA,NA,NA,NA,0.021076407
BP,GO:0104004,cellular response to environmental stimulus,NA,NA,NA,NA,NA,0.021076407
CC,GO:0042641,actomyosin,NA,NA,NA,NA,NA,0.021351245
BP,GO:0043408,regulation of MAPK cascade,NA,NA,NA,NA,NA,0.021729258
BP,GO:0042752,regulation of circadian rhythm,NA,NA,NA,NA,NA,0.022008196
BP,GO:0031145,anaphase-promoting complex-dependent catabolic process,NA,NA,NA,NA,NA,0.023486235
BP,GO:1903510,mucopolysaccharide metabolic process,NA,NA,NA,NA,NA,0.02348827
BP,GO:0009416,response to light stimulus,NA,NA,NA,NA,NA,0.024481739
CC,GO:0005811,lipid droplet,NA,NA,NA,NA,NA,0.025821774
BP,GO:0006766,vitamin metabolic process,NA,NA,NA,NA,NA,0.028244576
BP,GO:0098813,nuclear chromosome segregation,NA,NA,NA,NA,NA,0.031783268
CC,GO:0005680,anaphase-promoting complex,NA,NA,NA,NA,NA,0.031808124
BP,GO:0032330,regulation of chondrocyte differentiation,NA,NA,NA,NA,NA,0.032497454
BP,GO:0140014,mitotic nuclear division,NA,NA,NA,NA,NA,0.033833206
BP,GO:0051336,regulation of hydrolase activity,NA,NA,NA,NA,NA,0.034929677
BP,GO:0045637,regulation of myeloid cell differentiation,NA,NA,NA,NA,NA,0.035319281
BP,GO:0006970,response to osmotic stress,NA,NA,NA,NA,NA,0.035756759
BP,GO:0050650,chondroitin sulfate proteoglycan biosynthetic process,NA,NA,NA,NA,NA,0.035756759
BP,GO:0044092,negative regulation of molecular function,NA,NA,NA,NA,NA,0.035963522
MF,GO:0017018,myosin phosphatase activity,NA,NA,NA,NA,NA,0.036481006
MF,GO:0004715,non-membrane spanning protein tyrosine kinase activity,NA,NA,NA,NA,NA,0.037649852
CC,GO:0051233,spindle midzone,NA,NA,NA,NA,NA,0.038314717
BP,GO:0019915,lipid storage,NA,NA,NA,NA,NA,0.03913638
BP,GO:0010466,negative regulation of peptidase activity,NA,NA,NA,NA,NA,0.039182923
BP,GO:0007601,visual perception,NA,NA,NA,NA,NA,0.040591809
CC,GO:0005876,spindle microtubule,NA,NA,NA,NA,NA,0.041741549
BP,GO:0010950,positive regulation of endopeptidase activity,NA,NA,NA,NA,NA,0.042631995
BP,GO:0010952,positive regulation of peptidase activity,NA,NA,NA,NA,NA,0.042631995
BP,GO:0051306,mitotic sister chromatid separation,NA,NA,NA,NA,NA,0.042631995
BP,GO:0055008,cardiac muscle tissue morphogenesis,NA,NA,NA,NA,NA,0.042631995
BP,GO:0050953,sensory perception of light stimulus,NA,NA,NA,NA,NA,0.043628443
MF,GO:0005200,structural constituent of cytoskeleton,NA,NA,NA,NA,NA,0.043848402
BP,GO:0051346,negative regulation of hydrolase activity,NA,NA,NA,NA,NA,0.045141249
BP,GO:0002221,pattern recognition receptor signaling pathway,NA,NA,NA,NA,NA,0.045320034
BP,GO:0002758,innate immune response-activating signaling pathway,NA,NA,NA,NA,NA,0.045320034
BP,GO:0030071,regulation of mitotic metaphase/anaphase transition,NA,NA,NA,NA,NA,0.046239385
BP,GO:0050654,chondroitin sulfate proteoglycan metabolic process,NA,NA,NA,NA,NA,0.046239385
CC,GO:0005884,actin filament,NA,NA,NA,NA,NA,0.048276572
BP,GO:0007249,canonical NF-kappaB signal transduction,NA,NA,NA,NA,NA,0.04992395
BP,GO:0046425,regulation of receptor signaling pathway via JAK-STAT,NA,NA,NA,NA,NA,0.049954427
BP,GO:0062207,regulation of pattern recognition receptor signaling pathway,NA,NA,NA,NA,NA,0.049954427
BP,GO:1902099,regulation of metaphase/anaphase transition of cell cycle,NA,NA,NA,NA,NA,0.049954427
BP,GO:1904892,regulation of receptor signaling pathway via STAT,NA,NA,NA,NA,NA,0.049954427
BP,GO:1905818,regulation of chromosome separation,NA,NA,NA,NA,NA,0.049954427
