ONTOLOGY,ID,Description,pvalue_ASG_brain_AF,pvalue_ASG_brain_AR,pvalue_ASG_brain_FR,pvalue_DEG_brain_AF,pvalue_DEG_brain_AR,pvalue_DEG_brain_FR
BP,GO:0061024,membrane organization,0.003449392,NA,NA,0.024090258,NA,NA
BP,GO:0008045,motor neuron axon guidance,0.003457778,0.009426002,0.024417663,NA,NA,NA
BP,GO:0097479,synaptic vesicle localization,0.003467504,0.001316433,0.005875535,NA,NA,NA
BP,GO:0045055,regulated exocytosis,0.003496674,NA,3.60584e-4,NA,NA,NA
BP,GO:0010638,positive regulation of organelle organization,0.003520604,NA,0.042435194,NA,NA,NA
CC,GO:0019898,extrinsic component of membrane,0.003529356,0.013733282,0.0015902,NA,NA,NA
MF,GO:0005342,organic acid transmembrane transporter activity,0.003584509,0.014084922,0.040937809,NA,NA,NA
BP,GO:1902903,regulation of supramolecular fiber organization,0.003716424,NA,NA,NA,NA,NA
MF,GO:0015297,antiporter activity,0.003724024,NA,0.049750283,NA,NA,NA
MF,GO:0015108,chloride transmembrane transporter activity,0.003742054,0.012736695,0.01175715,NA,NA,NA
BP,GO:0018193,peptidyl-amino acid modification,0.003799941,NA,NA,0.012384268,NA,NA
BP,GO:0023061,signal release,0.00388827,NA,0.012837292,NA,NA,NA
MF,GO:0004843,cysteine-type deubiquitinase activity,0.00390102,NA,NA,NA,NA,NA
CC,GO:0099503,secretory vesicle,0.003933033,NA,0.015978205,NA,NA,NA
MF,GO:0035591,signaling adaptor activity,0.004024083,0.007836227,0.013683492,NA,NA,NA
MF,GO:0099529,neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential,0.004024083,0.002707389,NA,NA,NA,NA
MF,GO:1904315,transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential,0.004024083,0.002707389,NA,NA,NA,NA
BP,GO:0007586,digestion,0.004061668,0.005596309,NA,NA,NA,NA
MF,GO:0098632,cell-cell adhesion mediator activity,0.004330497,0.001454022,1.58812e-4,NA,NA,NA
BP,GO:0006470,protein dephosphorylation,0.004366966,NA,NA,NA,NA,NA
BP,GO:1902905,positive regulation of supramolecular fiber organization,0.004510716,NA,NA,NA,NA,NA
BP,GO:0046903,secretion,0.004562482,NA,0.005547673,NA,NA,NA
BP,GO:0040008,regulation of growth,0.004589623,NA,0.014137477,NA,0.038145764,NA
BP,GO:0090114,COPII-coated vesicle budding,0.004644553,NA,NA,NA,NA,0.026357605
BP,GO:0035330,regulation of hippo signaling,0.004693243,0.015691795,NA,NA,NA,NA
BP,GO:0072329,monocarboxylic acid catabolic process,0.004724701,0.003356986,NA,0.00342394,0.010954476,NA
MF,GO:0008139,nuclear localization sequence binding,0.004775371,0.002229712,NA,NA,NA,NA
MF,GO:0022836,gated channel activity,0.004946256,7.12e-7,0.003537122,NA,NA,NA
CC,GO:0005813,centrosome,0.004958794,0.047516977,0.002658019,NA,NA,NA
BP,GO:0061951,establishment of protein localization to plasma membrane,0.005105222,0.008137753,NA,NA,NA,NA
BP,GO:1903305,regulation of regulated secretory pathway,0.005110579,NA,0.001864855,NA,NA,NA
MF,GO:0016881,acid-amino acid ligase activity,0.005239664,NA,NA,NA,NA,NA
