ONTOLOGY,ID,Description,pvalue_ASG_liver_AF,pvalue_ASG_liver_AR,pvalue_ASG_liver_FR,pvalue_DEG_liver_AF,pvalue_DEG_liver_AR,pvalue_DEG_liver_FR
BP,GO:0007006,mitochondrial membrane organization,0.033999107,NA,0.016716262,NA,NA,NA
BP,GO:0036293,response to decreased oxygen levels,0.034399934,0.034599688,NA,9.31196e-4,NA,0.049428653
BP,GO:1902652,secondary alcohol metabolic process,0.034399934,NA,NA,NA,0.0057549640000000004,4.57e-7
BP,GO:0009072,aromatic amino acid metabolic process,0.03457667,0.016225735,8.8e-5,0.006153071,6.08375e-4,NA
BP,GO:0050728,negative regulation of inflammatory response,0.035096292,NA,NA,NA,NA,NA
BP,GO:0051588,regulation of neurotransmitter transport,0.035096292,NA,NA,NA,NA,NA
BP,GO:0060973,cell migration involved in heart development,0.035096292,NA,NA,NA,NA,NA
BP,GO:0060026,convergent extension,0.03516639,NA,NA,0.008196534,NA,NA
BP,GO:0006354,DNA-templated transcription elongation,0.036303834,NA,NA,NA,NA,NA
BP,GO:0090407,organophosphate biosynthetic process,0.036491756,0.003778953,NA,0.001244269,0.001488366,0.007639616
BP,GO:0046903,secretion,0.036686237,NA,NA,NA,NA,NA
BP,GO:0048762,mesenchymal cell differentiation,0.037049324,NA,NA,NA,NA,0.012299347
BP,GO:1903432,regulation of TORC1 signaling,0.037349886,NA,NA,NA,NA,NA
BP,GO:0001667,ameboidal-type cell migration,0.037521847,NA,NA,NA,NA,NA
BP,GO:0008361,regulation of cell size,0.037973159,NA,NA,NA,NA,NA
BP,GO:0022604,regulation of cell morphogenesis,0.038067827,NA,NA,NA,NA,NA
BP,GO:0046500,S-adenosylmethionine metabolic process,0.038272138,NA,NA,NA,NA,NA
BP,GO:0048846,axon extension involved in axon guidance,0.038272138,NA,NA,NA,NA,NA
BP,GO:0051289,protein homotetramerization,0.038272138,NA,0.037059748000000003,NA,NA,NA
BP,GO:1902284,neuron projection extension involved in neuron projection guidance,0.038272138,NA,NA,NA,NA,NA
BP,GO:0001906,cell killing,0.038623432,NA,NA,NA,NA,NA
BP,GO:0051147,regulation of muscle cell differentiation,0.038623432,NA,NA,NA,NA,NA
BP,GO:0006644,phospholipid metabolic process,0.038840785,0.026595131,NA,NA,NA,NA
BP,GO:0006163,purine nucleotide metabolic process,0.03884319,NA,NA,0.002633628,1.31527e-4,0.044601917
BP,GO:0046165,alcohol biosynthetic process,0.039996384,NA,NA,0.048817873,0.001295573,5.01e-5
BP,GO:0007528,neuromuscular junction development,0.040255577,0.019094076,NA,NA,NA,NA
BP,GO:0006753,nucleoside phosphate metabolic process,0.041559684,NA,NA,3.79e-5,2.47e-5,0.002742883
BP,GO:0007031,peroxisome organization,0.042345744,NA,NA,NA,NA,NA
BP,GO:0022600,digestive system process,0.042345744,NA,NA,7.4299e-4,0.005415224,NA
BP,GO:0061951,establishment of protein localization to plasma membrane,0.042345744,NA,0.016226564,NA,NA,NA
BP,GO:0006400,tRNA modification,0.042362821,0.016530929,NA,NA,NA,NA
BP,GO:0032006,regulation of TOR signaling,0.042362821,NA,NA,0.041409091,NA,NA
BP,GO:0009306,protein secretion,0.043294663,NA,NA,NA,NA,0.014698874
BP,GO:0035592,establishment of protein localization to extracellular region,0.043294663,NA,NA,NA,NA,0.014698874
BP,GO:0035268,protein mannosylation,0.043428987,0.003622773,NA,NA,NA,NA
BP,GO:0035269,protein O-linked mannosylation,0.043428987,0.003622773,NA,NA,NA,NA
BP,GO:0045834,positive regulation of lipid metabolic process,0.043428987,NA,NA,NA,NA,NA
BP,GO:0048168,regulation of neuronal synaptic plasticity,0.043428987,0.026163618,NA,NA,NA,NA
BP,GO:0097502,mannosylation,0.043428987,0.003622773,NA,NA,NA,NA
BP,GO:1902222,erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process,0.043428987,NA,0.04055456,0.006182649,0.010355978,NA
BP,GO:0003401,axis elongation,0.04380879,NA,NA,NA,NA,NA
BP,GO:0048193,Golgi vesicle transport,0.043993079,NA,NA,NA,NA,NA
BP,GO:0006403,RNA localization,0.044046175,0.043368938,NA,NA,NA,NA
BP,GO:0072523,purine-containing compound catabolic process,0.044046175,NA,NA,NA,0.034396523,NA
BP,GO:0001889,liver development,0.044593618,NA,NA,0.013472443,0.002613965,0.003608386
BP,GO:0016579,protein deubiquitination,0.04467574,0.001393618,NA,NA,NA,NA
BP,GO:0061024,membrane organization,0.045321159,NA,NA,NA,NA,NA
BP,GO:0070482,response to oxygen levels,0.046168663,0.045279738,NA,0.001700026,NA,NA
BP,GO:0000423,mitophagy,0.046263188,NA,NA,NA,NA,NA
BP,GO:0006956,complement activation,0.046263188,NA,NA,NA,NA,NA
BP,GO:0048920,posterior lateral line neuromast primordium migration,0.046263188,NA,0.01750513,NA,NA,NA
BP,GO:0072114,pronephros morphogenesis,0.046263188,NA,NA,NA,NA,NA
BP,GO:0015931,nucleobase-containing compound transport,0.046437246,NA,0.039880117,NA,NA,NA
BP,GO:0007030,Golgi organization,0.047068308,NA,0.044721961,NA,NA,NA
BP,GO:0014033,neural crest cell differentiation,0.047582888,NA,NA,NA,NA,0.009828585
BP,GO:0060485,mesenchyme development,0.047980469,NA,NA,NA,NA,0.009746025
BP,GO:0006888,endoplasmic reticulum to Golgi vesicle-mediated transport,0.048356978,NA,NA,NA,NA,NA
BP,GO:0042060,wound healing,0.048408303,NA,0.012654537,0.017590367,NA,NA
BP,GO:0002455,humoral immune response mediated by circulating immunoglobulin,0.048913171,NA,0.044168199,NA,0.020114484,NA
